,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_coef0,param_degree,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
141,0.8711161613464355,0.03852725028991699,0.638235294117647,1.0,10.0,0.5,4,0.5,"{'C': 10.0, 'coef0': 0.5, 'degree': 4, 'gamma': 0.5}",125,0.6431372549019608,1.0,0.6333333333333333,1.0,0.041527748107910156,0.0015015602111816406,0.004901960784313764,0.0
142,1.000209093093872,0.05053603649139404,0.6411764705882353,1.0,10.0,0.5,4,1,"{'C': 10.0, 'coef0': 0.5, 'degree': 4, 'gamma': 1}",91,0.6450980392156863,1.0,0.6372549019607843,1.0,0.05053544044494629,0.009506821632385254,0.003921568627451022,0.0
143,1.2979193925857544,0.04503226280212402,0.6392156862745098,1.0,10.0,0.5,4,2,"{'C': 10.0, 'coef0': 0.5, 'degree': 4, 'gamma': 2}",115,0.6431372549019608,1.0,0.6352941176470588,1.0,0.11108028888702393,0.008005619049072266,0.003921568627451022,0.0
144,0.060541629791259766,0.048033952713012695,0.6411764705882353,0.7843137254901961,10.0,1,2,0.1,"{'C': 10.0, 'coef0': 1, 'degree': 2, 'gamma': 0.1}",91,0.6509803921568628,0.7803921568627451,0.6313725490196078,0.788235294117647,0.007506132125854492,0.005003690719604492,0.009803921568627472,0.0039215686274509665
145,0.16211450099945068,0.044536590576171875,0.6833333333333333,0.8794117647058823,10.0,1,2,0.5,"{'C': 10.0, 'coef0': 1, 'degree': 2, 'gamma': 0.5}",15,0.692156862745098,0.8784313725490196,0.6745098039215687,0.8803921568627451,0.005002617835998535,0.006509065628051758,0.008823529411764675,0.0009803921568627416
146,0.3247300386428833,0.04052889347076416,0.6725490196078432,0.9049019607843137,10.0,1,2,1,"{'C': 10.0, 'coef0': 1, 'degree': 2, 'gamma': 1}",50,0.6686274509803921,0.903921568627451,0.6764705882352942,0.9058823529411765,0.07955563068389893,0.0045021772384643555,0.003921568627451022,0.0009803921568627416
147,1.0852688550949097,0.03602635860443115,0.6813725490196079,0.9578431372549019,10.0,1,2,2,"{'C': 10.0, 'coef0': 1, 'degree': 2, 'gamma': 2}",23,0.6862745098039216,0.9529411764705882,0.6764705882352942,0.9627450980392157,0.22265803813934326,0.002001643180847168,0.004901960784313708,0.004901960784313764
148,0.07054901123046875,0.03952789306640625,0.6705882352941176,0.8411764705882353,10.0,1,3,0.1,"{'C': 10.0, 'coef0': 1, 'degree': 3, 'gamma': 0.1}",55,0.6882352941176471,0.8392156862745098,0.6529411764705882,0.8431372549019608,0.008506059646606445,0.004502773284912109,0.017647058823529405,0.0019607843137254832
149,1.0097155570983887,0.04052913188934326,0.65,0.9950980392156863,10.0,1,3,0.5,"{'C': 10.0, 'coef0': 1, 'degree': 3, 'gamma': 0.5}",82,0.6588235294117647,0.996078431372549,0.6411764705882353,0.9941176470588236,0.10707616806030273,0.0005003213882446289,0.008823529411764675,0.0009803921568627416
150,1.5060677528381348,0.04052925109863281,0.6392156862745098,1.0,10.0,1,3,1,"{'C': 10.0, 'coef0': 1, 'degree': 3, 'gamma': 1}",115,0.6509803921568628,1.0,0.6274509803921569,1.0,0.10907626152038574,0.0005006790161132812,0.011764705882352955,0.0
151,1.334948182106018,0.03652548789978027,0.638235294117647,1.0,10.0,1,3,2,"{'C': 10.0, 'coef0': 1, 'degree': 3, 'gamma': 2}",125,0.6490196078431373,1.0,0.6274509803921569,1.0,0.13409388065338135,0.004503965377807617,0.010784313725490213,0.0
152,0.16911852359771729,0.04052901268005371,0.6745098039215687,0.9029411764705882,10.0,1,4,0.1,"{'C': 10.0, 'coef0': 1, 'degree': 4, 'gamma': 0.1}",44,0.6803921568627451,0.8960784313725491,0.6686274509803921,0.9098039215686274,0.02902209758758545,0.0004999637603759766,0.005882352941176505,0.006862745098039191
153,0.9106457233428955,0.04052877426147461,0.6362745098039215,1.0,10.0,1,4,0.5,"{'C': 10.0, 'coef0': 1, 'degree': 4, 'gamma': 0.5}",155,0.6450980392156863,1.0,0.6274509803921569,1.0,0.014010190963745117,0.0005004405975341797,0.00882352941176473,0.0
154,0.889130711555481,0.03502476215362549,0.638235294117647,1.0,10.0,1,4,1,"{'C': 10.0, 'coef0': 1, 'degree': 4, 'gamma': 1}",125,0.6431372549019608,1.0,0.6333333333333333,1.0,0.021515488624572754,0.0040024518966674805,0.004901960784313764,0.0
155,0.9396663904190063,0.033524274826049805,0.6411764705882353,1.0,10.0,1,4,2,"{'C': 10.0, 'coef0': 1, 'degree': 4, 'gamma': 2}",91,0.6450980392156863,1.0,0.6372549019607843,1.0,0.009006142616271973,0.002501964569091797,0.003921568627451022,0.0
156,0.05253720283508301,0.03902733325958252,0.6441176470588236,0.7862745098039216,10.0,2,2,0.1,"{'C': 10.0, 'coef0': 2, 'degree': 2, 'gamma': 0.1}",87,0.6529411764705882,0.7843137254901961,0.6352941176470588,0.788235294117647,0.0005002021789550781,0.002001643180847168,0.00882352941176473,0.0019607843137254832
157,0.10707473754882812,0.03402388095855713,0.6813725490196079,0.8784313725490196,10.0,2,2,0.5,"{'C': 10.0, 'coef0': 2, 'degree': 2, 'gamma': 0.5}",23,0.6901960784313725,0.8764705882352941,0.6725490196078432,0.8803921568627451,0.010007381439208984,0.002001166343688965,0.008823529411764675,0.0019607843137254832
158,0.263187050819397,0.030521392822265625,0.6705882352941176,0.9058823529411765,10.0,2,2,1,"{'C': 10.0, 'coef0': 2, 'degree': 2, 'gamma': 1}",55,0.6686274509803921,0.9058823529411765,0.6725490196078432,0.9058823529411765,0.018013358116149902,0.0005004405975341797,0.0019607843137255387,0.0
159,0.8826258182525635,0.03302323818206787,0.6823529411764706,0.9578431372549019,10.0,2,2,2,"{'C': 10.0, 'coef0': 2, 'degree': 2, 'gamma': 2}",21,0.6862745098039216,0.9529411764705882,0.6784313725490196,0.9627450980392157,0.26718950271606445,0.005003571510314941,0.0039215686274509665,0.004901960784313764
160,0.07355141639709473,0.0360262393951416,0.6833333333333333,0.8568627450980393,10.0,2,3,0.1,"{'C': 10.0, 'coef0': 2, 'degree': 3, 'gamma': 0.1}",15,0.7019607843137254,0.8627450980392157,0.6647058823529411,0.8509803921568627,0.002501964569091797,0.0020020008087158203,0.018627450980392146,0.005882352941176505
